count,mean,std,min,max,median,type,value
179,0.16694361452513967,0.18094940677753524,0.0,1.0,0.107486,s,0.0
112,0.2576432142857143,0.17379355802556729,0.051823,1.0,0.234165,s,0.05
90,0.30300698888888894,0.16449783416936223,0.107486,1.0,0.28119,s,0.1
70,0.35286529999999994,0.15344099997573288,0.159309,1.0,0.320537,s,0.15
60,0.38266146666666667,0.14572885435017857,0.211132,1.0,0.3368525,s,0.2
53,0.4026363773584905,0.143520189558128,0.25144,1.0,0.345489,s,0.25
40,0.44333005,0.14315225860739153,0.305182,1.0,0.412668,s,0.3
24,0.5199135,0.13910730986574119,0.368522,1.0,0.489443,s,0.35
21,0.5413580952380952,0.135779850010405,0.412668,1.0,0.514395,s,0.4
16,0.578214875,0.1357779057385051,0.460653,1.0,0.541267,s,0.45
11,0.6243237272727273,0.14125455071162768,0.514395,1.0,0.564299,s,0.5
7,0.6767204285714286,0.15406374989024804,0.552783,1.0,0.587332,s,0.55
3,0.8227766666666666,0.13357178667251887,0.677543,1.0,0.790787,s,0.6
3,0.8227766666666666,0.13357178667251887,0.677543,1.0,0.790787,s,0.65
2,0.8953935,0.10460649999999999,0.790787,1.0,0.8953935,s,0.7
2,0.8953935,0.10460649999999999,0.790787,1.0,0.8953935,s,0.75
1,1.0,0.0,1.0,1.0,1.0,s,0.8
1,1.0,0.0,1.0,1.0,1.0,s,0.9
75,0.6754386133333333,0.2902190750149914,0.051939,1.0,0.75,t,4.0
95,0.2954438947368421,0.20589366287763172,0.006337,1.0,0.253485,t,5.0
179,0.16694361452513967,0.18094940677753527,0.0,1.0,0.107486,t,6.0
287,0.0944496898954704,0.14461183399044988,0.0,1.0,0.022945,t,7.0
321,0.09655909345794393,0.15957047320758333,0.0,1.0,0.018141,t,8.0
413,0.07337083777239709,0.1348513894217756,0.0,1.0,0.004796,t,9.0
