gap,node_emd,edge_emd,total_distance,spectral_wasserstein,timestep_ps
1,0,0,0,0,2
2,0.008858504934213174,0.008380230731459905,0.017238735665673077,0.000178344043,4
5,0.011033499547813498,0.010671286892653654,0.021704786440467153,0.000151919977,10
10,0.014073602661202144,0.013831331747749503,0.02790493440895165,0.000736794136,20
20,0.017835862214549005,0.01786010236838853,0.035695964582937535,0.000904863974,40
50,0.021799538985967485,0.020786140432846177,0.042585679418813666,0.000622868016,100
100,0.016479657996427963,0.01639998377280424,0.03287964176923221,0.001245464699,200
200,0.05664844612035108,0.05697978956752624,0.11362823568787732,0.002666033598,400
500,0.2517060367541033,0.2550087359824912,0.5067147727365945,0.011900433821,1000
1000,0.18943832071355096,0.1854766984821472,0.37491501919569814,0.006107764916,2000
2500,0.5161372479175373,0.5281111759477277,1.0442484238652652,0.015232295810,5000
5000,0.6305670415796956,0.6457525843364207,1.2763196259161163,0.014221507715,10000
10000,0.6204410207822033,0.6342342572744376,1.254675278056641,0.015175721175,20000
25000,1.1365466384895835,1.1030199809974655,2.239566619487049,0.021101471093,50000
50000,1.508383859551504,1.5400224048350015,3.0484062643865055,0.021292173941,100000
100000,1.7625904872303422,1.781174084662749,3.5437645718930915,0.029830139368,200000
