#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0    27005    0.539    1.761    0.235    40267    2.899
       1     4406    0.088    1.721    0.285    27605    2.498
       2     2774    0.055    1.809    0.246    33882    2.570
       3     2609    0.052    1.725    0.245    24623    2.591
       4     2293    0.046    1.801    0.260    20433    2.409
       5     2112    0.042    1.785    0.253    17533    2.689
       6     1887    0.038    1.774    0.234    46651    2.608
       7     1369    0.027    1.810    0.269    48712    2.488
       8      666    0.013    1.836    0.290    33245    2.475
       9      632    0.013    1.719    0.311    21465    2.694
      10      500    0.010    1.717    0.275    18739    2.587
      11      483    0.010    1.691    0.300    26248    2.749
      12      480    0.010    1.848    0.287    22128    2.462
      13      440    0.009    1.425    0.205    43021    2.630
      14      433    0.009    1.860    0.282    22867    2.485
      15      389    0.008    1.671    0.319    19344    2.439
      16      329    0.007    1.753    0.298    22102    2.542
      17      239    0.005    1.645    0.248    26526    2.619
      18      197    0.004    1.716    0.255    22322    2.489
      19      165    0.003    1.514    0.257    21860    2.518
      20      164    0.003    1.771    0.271    22591    2.642
      21      142    0.003    1.464    0.222    25484    2.655
      22      136    0.003    1.597    0.317    25882    2.571
      23       95    0.002    1.368    0.176    12840    2.857
      24       78    0.002    1.348    0.216    32955    2.746
      25       55    0.001    1.482    0.275    22690    2.663
      26       22    0.000    0.000    0.000    43362    2.493
